ORI,YEAR,MRD,CLR,State,County,Agency
NJ010SP,2012,2,2,New Jersey,"Hunterdon, NJ",State Police: Hunterdon County
NJ00614,2014,2,0,New Jersey,"Cumberland, NJ",Vineland
CA01000,2019,14,6,California,"Fresno, CA",Fresno County
GA14102,2016,4,3,Georgia,"Troup, GA",Lagrange
CA03330,2015,0,1,California,"Riverside, CA",Lake Elsinore
LA03200,2016,2,0,Louisiana,"Livingston, LA",Livingston County
NY314SA,2016,1,1,New York,"Erie, NY",State Police: Erie County (A)
KYKSP10,2010,1,0,Kentucky,"Harlan, KY",State Police Post 10
FL06406,2013,1,1,Florida,"Volusia, FL",Edgewater
NY00102,2011,1,1,New York,"Albany, NY",Cohoes
CA03332,2019,15,12,California,"Riverside, CA",Moreno Valley
VA08300,2016,1,0,Virginia,"Russell, VA",Russell County
NY05222,2014,2,1,New York,"Sullivan, NY",Monticello Village
IA06800,2011,1,1,Iowa,"Monroe, IA",Monroe County
CA03611,2015,4,2,California,"San Bernardino, CA",Upland
SC02304,2018,1,0,South Carolina,"Greenville, SC",Mauldin
AL00104,2012,2,1,Alabama,"Jefferson, AL",Fairfield
DE00206,2016,26,12,Delaware,"New Castle, DE",Wilmington
SC04202,2015,2,1,South Carolina,"Spartanburg, SC",Woodruff
MS03800,2018,2,1,Mississippi,"Lauderdale, MS",Lauderdale County
MN00213,2013,1,1,Minnesota,"Anoka, MN",Ramsey
MI63751,2011,4,3,Michigan,"Oakland, MI",Southfield
NC03300,2014,1,1,North Carolina,"Edgecombe, NC",Edgecombe County
